station,emission,echeance,horizon,mb1,mb2,mb3,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb20,mb21,mb22,mb23,mb24,mb25,mb26,mb27,mb28,mb29,mb30,mb31,mb32,mb33,mb34,mb35,mb36,mb37,mb38,mb39,mb40,mb41,mb42,mb43,mb44,mb45,mb46,mb47,mb48,mb49,mb50
022513,2021-08-01 00:00:00,2021-08-02 00:00:00,24,8.890625,8.8125,8.828125,8.796875,8.875,8.6875,8.8125,8.703125,8.671875,8.65625,8.859375,8.75,8.578125,8.765625,8.84375,8.65625,8.78125,9.65625,8.78125,8.578125,8.96875,8.796875,8.859375,8.734375,8.625,9.03125,8.5625,8.765625,8.859375,8.625,8.859375,8.734375,8.640625,8.765625,8.890625,8.84375,8.859375,8.828125,8.703125,8.703125,8.96875,8.796875,8.875,8.78125,9.015625,8.765625,8.90625,8.9375,9.4375,8.671875
022513,2021-08-01 00:00:00,2021-08-03 00:00:00,48,7.609375,7.71875,7.8125,7.6875,7.9375,7.671875,8.0,7.953125,7.953125,7.390625,8.03125,8.0625,7.265625,7.828125,7.578125,8.0625,7.59375,8.78125,7.5625,7.859375,8.3125,7.953125,7.796875,7.75,7.75,7.71875,8.046875,7.640625,8.640625,7.34375,7.6875,7.828125,7.53125,7.5,8.078125,8.09375,8.109375,7.953125,7.515625,7.625,7.734375,7.765625,7.734375,8.078125,7.71875,7.734375,7.875,7.890625,8.6875,7.84375
022513,2021-08-01 00:00:00,2021-08-04 00:00:00,72,7.0625,7.140625,7.0625,7.125,6.96875,7.09375,6.9375,7.359375,7.0,6.765625,7.3125,7.015625,6.609375,7.25,7.09375,7.515625,7.140625,8.25,6.828125,7.15625,7.1875,7.09375,7.078125,6.96875,6.984375,6.859375,7.078125,7.15625,7.484375,6.734375,6.890625,6.984375,6.875,6.796875,7.484375,7.3125,7.453125,7.1875,6.90625,6.890625,7.15625,7.03125,6.9375,7.140625,7.15625,7.234375,7.296875,7.140625,8.46875,7.265625
022513,2021-08-01 00:00:00,2021-08-05 00:00:00,96,6.59375,6.328125,6.34375,6.34375,6.203125,6.859375,6.359375,6.578125,6.3125,6.15625,6.515625,6.796875,6.203125,6.3125,6.75,6.625,6.578125,7.40625,6.265625,6.453125,6.421875,6.390625,6.40625,6.28125,6.1875,6.171875,6.421875,6.421875,6.765625,6.21875,6.28125,6.28125,6.265625,6.140625,6.625,6.6875,6.734375,6.609375,6.625,6.265625,6.265625,6.296875,6.765625,6.3125,6.328125,6.46875,6.5625,6.40625,8.4375,6.28125
022513,2021-08-01 00:00:00,2021-08-06 00:00:00,120,9.296875,5.90625,6.578125,5.859375,5.8125,6.3125,5.9375,6.21875,5.921875,5.875,6.078125,5.96875,5.90625,7.609375,5.96875,6.0625,7.703125,7.25,5.9375,6.171875,5.9375,14.0,5.9375,6.375,5.953125,6.046875,6.640625,5.953125,6.3125,5.9375,6.0,6.734375,5.84375,6.515625,6.984375,6.5625,6.890625,6.03125,6.09375,7.359375,5.859375,5.921875,5.875,5.921875,6.21875,6.015625,6.359375,6.03125,7.734375,5.859375
022513,2021-08-01 00:00:00,2021-08-07 00:00:00,144,11.390625,5.890625,7.375,5.65625,5.59375,5.828125,5.65625,5.859375,5.625,5.625,5.796875,6.359375,5.640625,6.875,5.75,5.796875,9.203125,6.328125,6.03125,5.921875,5.625,14.390625,5.65625,5.8125,5.671875,5.609375,6.1875,5.6875,5.875,5.6875,5.59375,6.84375,5.640625,6.5,6.234375,6.34375,6.0625,5.78125,9.859375,6.78125,5.734375,5.84375,5.796875,5.640625,5.859375,5.765625,5.828125,8.734375,7.125,5.609375
022513,2021-08-02 00:00:00,2021-08-03 00:00:00,24,8.578125,8.390625,8.265625,8.421875,8.609375,8.15625,8.84375,9.046875,8.4375,8.234375,8.46875,8.0625,8.484375,8.546875,8.078125,8.015625,8.34375,8.640625,8.25,8.15625,8.375,8.8125,8.78125,8.8125,8.390625,8.921875,8.734375,7.953125,8.1875,8.28125,8.46875,7.9375,8.5,9.125,8.109375,8.59375,8.21875,8.078125,8.296875,8.3125,8.1875,8.71875,8.421875,8.328125,8.984375,8.78125,8.265625,8.65625,8.03125,8.46875
022513,2021-08-02 00:00:00,2021-08-04 00:00:00,48,8.015625,7.703125,7.875,7.296875,8.15625,7.65625,8.265625,9.03125,7.921875,7.484375,7.75,7.328125,7.421875,7.90625,7.203125,7.5625,7.515625,7.5,7.25,7.40625,7.40625,8.296875,8.40625,8.71875,7.921875,7.96875,7.484375,7.484375,7.59375,7.390625,8.015625,7.234375,7.46875,8.5625,7.515625,7.953125,7.46875,7.546875,7.6875,7.8125,7.90625,8.3125,7.578125,7.296875,8.21875,8.734375,8.171875,7.671875,7.4375,7.328125
022513,2021-08-02 00:00:00,2021-08-05 00:00:00,72,7.625,6.8125,6.71875,6.46875,7.25,6.84375,7.515625,8.59375,7.09375,6.421875,6.921875,6.390625,6.890625,7.5,6.46875,6.5625,6.59375,6.890625,6.453125,6.578125,6.484375,7.46875,7.765625,7.765625,7.375,6.90625,6.703125,6.875,6.65625,6.4375,7.25,6.328125,6.46875,7.609375,6.765625,7.078125,6.390625,6.5625,6.828125,6.9375,7.140625,7.359375,6.578125,6.328125,7.328125,7.828125,7.40625,6.65625,6.546875,6.453125
022513,2021-08-02 00:00:00,2021-08-06 00:00:00,96,6.859375,6.09375,6.0,8.28125,7.0,6.28125,6.734375,7.28125,6.609375,5.953125,6.28125,6.0625,6.796875,7.421875,5.9375,6.328125,6.09375,6.203125,5.890625,6.078125,6.109375,6.59375,7.234375,8.0,6.734375,6.5,6.171875,6.484375,6.484375,6.0,6.46875,5.984375,5.984375,6.796875,6.46875,7.796875,5.96875,6.265625,6.265625,6.84375,6.859375,6.640625,6.3125,5.890625,6.625,6.828125,6.640625,6.34375,7.3125,6.125
